station,month,number of passengers
Samyan,2017-09,381100
Samyan,2017-10,322072
Samyan,2017-11,347470
Samyan,2017-12,271622
Hualamphong,2017-01,484775
Hualamphong,2017-02,452491
Hualamphong,2017-03,473740
Hualamphong,2017-04,409203
Hualamphong,2017-05,580946
Hualamphong,2017-06,424202
Hualamphong,2017-07,436779
Hualamphong,2017-08,471327
Hualamphong,2017-09,443477
Hualamphong,2017-10,450850
Hualamphong,2017-11,485565
Hualamphong,2017-12,458129
