station,month,population
Bangsue,jan_60,407394
Bangsue,feb_60,393804
Bangsue,mar_60,459304
Bangsue,apr_60,387952
Bangsue,may_60,429761
Bangsue,jun_60,463511
Bangsue,jul_60,456940
Bangsue,aug_60,302773
Bangsue,sep_60,164614
Bangsue,oct_60,148332
Bangsue,nov_60,152166
Bangsue,dec_60,134171
Kamphaengphet,jan_60,127461
Kamphaengphet,feb_60,126835
Kamphaengphet,mar_60,132333
Kamphaengphet,apr_60,128775
Kamphaengphet,may_60,107238
Kamphaengphet,jun_60,121473
Kamphaengphet,jul_60,134978
Kamphaengphet,aug_60,132479
Kamphaengphet,sep_60,132701
Kamphaengphet,oct_60,132985
Kamphaengphet,nov_60,130121
Kamphaengphet,dec_60,148047
Chatuchak park,jan_60,568661
Chatuchak park,feb_60,552833
Chatuchak park,mar_60,641153
Chatuchak park,apr_60,561960
Chatuchak park,may_60,813812
Chatuchak park,jun_60,603928
Chatuchak park,jul_60,602430
Chatuchak park,aug_60,665525
Chatuchak park,sep_60,682854
Chatuchak park,oct_60,653416
Chatuchak park,nov_60,699916
Chatuchak park,dec_60,658539
Phahonyothin,jan_60,522046
Phahonyothin,feb_60,504924
Phahonyothin,mar_60,574090
Phahonyothin,apr_60,502383
Phahonyothin,may_60,738360
Phahonyothin,jun_60,555900
Phahonyothin,jul_60,552151
Phahonyothin,aug_60,578694
Phahonyothin,sep_60,563703
Phahonyothin,oct_60,523164
Phahonyothin,nov_60,560998
Phahonyothin,dec_60,537489
Latphrao,jan_60,514137
Latphrao,feb_60,494548
Latphrao,mar_60,567285
Latphrao,apr_60,471926
Latphrao,may_60,797474
Latphrao,jun_60,552532
Latphrao,jul_60,536918
Latphrao,aug_60,584035
Latphrao,sep_60,568071
Latphrao,oct_60,531724
Latphrao,nov_60,571873
Latphrao,dec_60,498594
Ratchadaphisek,jan_60,147377
Ratchadaphisek,feb_60,142665
Ratchadaphisek,mar_60,165562
Ratchadaphisek,apr_60,131795
Ratchadaphisek,may_60,235920
Ratchadaphisek,jun_60,163650
Ratchadaphisek,jul_60,155744
Ratchadaphisek,aug_60,169890
Ratchadaphisek,sep_60,161063
Ratchadaphisek,oct_60,145557
Ratchadaphisek,nov_60,161478
Ratchadaphisek,dec_60,140948
Sutthisan,jan_60,382200
Sutthisan,feb_60,370355
Sutthisan,mar_60,417631
Sutthisan,apr_60,335416
Sutthisan,may_60,613388
Sutthisan,jun_60,410597
Sutthisan,jul_60,392239
Sutthisan,aug_60,416081
Sutthisan,sep_60,400860
Sutthisan,oct_60,366390
Sutthisan,nov_60,406525
Sutthisan,dec_60,362635
Huaikhwang,jan_60,529279
Huaikhwang,feb_60,513750
Huaikhwang,mar_60,579216
Huaikhwang,apr_60,478380
Huaikhwang,may_60,779170
Huaikhwang,jun_60,550502
Huaikhwang,jul_60,539561
Huaikhwang,aug_60,577043
Huaikhwang,sep_60,552637
Huaikhwang,oct_60,501724
Huaikhwang,nov_60,557800
Huaikhwang,dec_60,501013
Thailand cultural centre,jan_60,576084
Thailand cultural centre,feb_60,560368
Thailand cultural centre,mar_60,648184
Thailand cultural centre,apr_60,538940
Thailand cultural centre,may_60,881666
Thailand cultural centre,jun_60,643961
Thailand cultural centre,jul_60,614968
Thailand cultural centre,aug_60,668594
Thailand cultural centre,sep_60,655485
Thailand cultural centre,oct_60,592582
Thailand cultural centre,nov_60,657355
Thailand cultural centre,dec_60,650060
Phraram 9,jan_60,761330
Phraram 9,feb_60,742701
Phraram 9,mar_60,861486
Phraram 9,apr_60,727820
Phraram 9,may_60,1193982
Phraram 9,jun_60,838155
Phraram 9,jul_60,808395
Phraram 9,aug_60,858292
Phraram 9,sep_60,824146
Phraram 9,oct_60,764145
Phraram 9,nov_60,832048
Phraram 9,dec_60,780612
Phetchaburi,jan_60,625019
Phetchaburi,feb_60,622913
Phetchaburi,mar_60,703533
Phetchaburi,apr_60,568002
Phetchaburi,may_60,974954
Phetchaburi,jun_60,648110
Phetchaburi,jul_60,631009
Phetchaburi,aug_60,714151
Phetchaburi,sep_60,696976
Phetchaburi,oct_60,619821
Phetchaburi,nov_60,725422
Phetchaburi,dec_60,604196
Sukhumvit,jan_60,1177911
Sukhumvit,feb_60,1172343
Sukhumvit,mar_60,1337877
Sukhumvit,apr_60,1108561
Sukhumvit,may_60,1789126
Sukhumvit,jun_60,1280862
Sukhumvit,jul_60,1220291
Sukhumvit,aug_60,1323064
Sukhumvit,sep_60,1269907
Sukhumvit,oct_60,1181109
Sukhumvit,nov_60,1280328
Sukhumvit,dec_60,1202684
Queen Sirikit national conv. centre,jan_60,272170
Queen Sirikit national conv. centre,feb_60,420653
Queen Sirikit national conv. centre,mar_60,470661
Queen Sirikit national conv. centre,apr_60,464945
Queen Sirikit national conv. centre,may_60,513012
Queen Sirikit national conv. centre,jun_60,418729
Queen Sirikit national conv. centre,jul_60,332996
Queen Sirikit national conv. centre,aug_60,414773
Queen Sirikit national conv. centre,sep_60,413821
Queen Sirikit national conv. centre,oct_60,507732
Queen Sirikit national conv. centre,nov_60,364982
Queen Sirikit national conv. centre,dec_60,279723
Khlongtoei,jan_60,69947
Khlongtoei,feb_60,70363
Khlongtoei,mar_60,79125
Khlongtoei,apr_60,63034
Khlongtoei,may_60,112320
Khlongtoei,jun_60,74233
Khlongtoei,jul_60,70292
Khlongtoei,aug_60,78977
Khlongtoei,sep_60,75271
Khlongtoei,oct_60,67466
Khlongtoei,nov_60,75993
Khlongtoei,dec_60,69331
Lumphini,jan_60,348201
Lumphini,feb_60,329321
Lumphini,mar_60,379223
Lumphini,apr_60,290454
Lumphini,may_60,556312
Lumphini,jun_60,361466
Lumphini,jul_60,333586
Lumphini,aug_60,374945
Lumphini,sep_60,355790
Lumphini,oct_60,311605
Lumphini,nov_60,366143
Lumphini,dec_60,313324
Silom,jan_60,653559
Silom,feb_60,619227
Silom,mar_60,701959
Silom,apr_60,584165
Silom,may_60,967648
Silom,jun_60,657801
Silom,jul_60,620683
Silom,aug_60,699040
Silom,sep_60,671964
Silom,oct_60,602609
Silom,nov_60,674461
Silom,dec_60,594151
Samyan,jan_60,313410
Samyan,feb_60,307130
Samyan,mar_60,368727
Samyan,apr_60,282818
Samyan,may_60,451870
Samyan,jun_60,307426
Samyan,jul_60,303250
Samyan,aug_60,349117
Samyan,sep_60,381100
Samyan,oct_60,322072
Samyan,nov_60,347470
Samyan,dec_60,271622
Hualamphong,jan_60,484775
Hualamphong,feb_60,452491
Hualamphong,mar_60,473740
Hualamphong,apr_60,409203
Hualamphong,may_60,580946
Hualamphong,jun_60,424202
Hualamphong,jul_60,436779
Hualamphong,aug_60,471327
Hualamphong,sep_60,443477
Hualamphong,oct_60,450850
Hualamphong,nov_60,485565
Hualamphong,dec_60,458129
